strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
oc43/KF963213/HCoV_OC43/FRA_EPI/Caen/1967/VR759/1967	KF963213	HCoV_OC43/FRA_EPI/Caen/1967/VR759	1967-XX-XX	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963214/HCoV_OC43/FRA_EPI/Caen/2001/01/2001	KF963214	HCoV_OC43/FRA_EPI/Caen/2001/01	2001-02-20	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963215/HCoV_OC43/FRA_EPI/Caen/2001/02/2001	KF963215	HCoV_OC43/FRA_EPI/Caen/2001/02	2001-02-07	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963216/HCoV_OC43/FRA_EPI/Caen/2002/03/2002	KF963216	HCoV_OC43/FRA_EPI/Caen/2002/03	2002-03-12	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963217/HCoV_OC43/FRA_EPI/Caen/2002/04/2002	KF963217	HCoV_OC43/FRA_EPI/Caen/2002/04	2002-02-21	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963218/HCoV_OC43/FRA_EPI/Caen/2003/05/2003	KF963218	HCoV_OC43/FRA_EPI/Caen/2003/05	2003-01-17	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963219/HCoV_OC43/FRA_EPI/Caen/2004/06/2004	KF963219	HCoV_OC43/FRA_EPI/Caen/2004/06	2004-02-20	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963220/HCoV_OC43/FRA_EPI/Caen/2005/07/2005	KF963220	HCoV_OC43/FRA_EPI/Caen/2005/07	2005-02-07	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963221/HCoV_OC43/FRA_EPI/Caen/2006/08/2006	KF963221	HCoV_OC43/FRA_EPI/Caen/2006/08	2006-04-12	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963222/HCoV_OC43/FRA_EPI/Caen/2007/09/2007	KF963222	HCoV_OC43/FRA_EPI/Caen/2007/09	2007-06-16	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963223/HCoV_OC43/FRA_EPI/Caen/2008/10/2008	KF963223	HCoV_OC43/FRA_EPI/Caen/2008/10	2008-01-17	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963224/HCoV_OC43/FRA_EPI/Caen/2009/11/2009	KF963224	HCoV_OC43/FRA_EPI/Caen/2009/11	2009-11-02	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963225/HCoV_OC43/FRA_EPI/Caen/2010/12/2010	KF963225	HCoV_OC43/FRA_EPI/Caen/2010/12	2010-12-17	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963226/HCoV_OC43/FRA_EPI/Caen/2011/13/2011	KF963226	HCoV_OC43/FRA_EPI/Caen/2011/13	2011-11-20	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963227/HCoV_OC43/FRA_EPI/Caen/2012/14/2012	KF963227	HCoV_OC43/FRA_EPI/Caen/2012/14	2012-03-30	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KF963228/HCoV_OC43/FRA_EPI/Caen/2013/15/2013	KF963228	HCoV_OC43/FRA_EPI/Caen/2013/15	2013-03-18	Human	France	Betacoronavirus_1	oc43	beta	full
oc43/KU131570/HCoV_OC43/UK/London/2011/2011	KU131570	HCoV_OC43/UK/London/2011	2011-08-20	Human	United_Kingdom	Betacoronavirus_1	oc43	beta	full
oc43/MF314143/HCoV_OC43/USA/ACRI_0052/2016/2016	MF314143	HCoV_OC43/USA/ACRI_0052/2016	2016-03-07	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MH121121/HCoV_OC43/USA/ACRI_0213/2016/2016	MH121121	HCoV_OC43/USA/ACRI_0213/2016	2016-12-19	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MF374984/HCoV_OC43/USA/TCNP_00204/2017/2017	MF374984	HCoV_OC43/USA/TCNP_00204/2017	2017-01-03	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MF374985/HCoV_OC43/USA/TCNP_00212/2017/2017	MF374985	HCoV_OC43/USA/TCNP_00212/2017	2017-01-17	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MF374983/HCoV_OC43/USA/TCNP_0070/2016/2016	MF374983	HCoV_OC43/USA/TCNP_0070/2016	2016-02-01	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN306036/HCoV_OC43/Seattle/USA/SC0682/2019/2019	MN306036	HCoV_OC43/Seattle/USA/SC0682/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN310478/HCoV_OC43/Seattle/USA/SC0776/2019/2019	MN310478	HCoV_OC43/Seattle/USA/SC0776/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN306041/HCoV_OC43/Seattle/USA/SC0810/2019/2019	MN306041	HCoV_OC43/Seattle/USA/SC0810/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN306042/HCoV_OC43/Seattle/USA/SC0839/2019/2019	MN306042	HCoV_OC43/Seattle/USA/SC0839/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN306043/HCoV_OC43/Seattle/USA/SC0841/2019/2019	MN306043	HCoV_OC43/Seattle/USA/SC0841/2019	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY684759/HCoV_OC43/Seattle/USA/SC2269/2016/2016	KY684759	HCoV_OC43/Seattle/USA/SC2269/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY967361/HCoV_OC43/Seattle/USA/SC2345/2015/2015	KY967361	HCoV_OC43/Seattle/USA/SC2345/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY967360/HCoV_OC43/Seattle/USA/SC2476/2015/2015	KY967360	HCoV_OC43/Seattle/USA/SC2476/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY983583/HCoV_OC43/Seattle/USA/SC2481/2015/2015	KY983583	HCoV_OC43/Seattle/USA/SC2481/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
