strain	strain_name	date	host	country	virus	subtype	type	sequence_locus
NC_038294	England_1	2012-09-11	Human	United_Kingdom	NA	None	None	full
MN120514	013	2019-03-28	Human	Saudi_Arabia	NA	None	None	full
MN120513	016	2019-03-27	Human	Saudi_Arabia	NA	None	None	full
MN735679	03	2015-09-28	Human	Saudi_Arabia	NA	None	None	full
MN735682	109	2017-11-16	Human	Saudi_Arabia	NA	None	None	full
KY794401	125	2015-XX-XX	Human	Sudan	NA	None	None	full
KY794402	126	2015-XX-XX	Human	Sudan	NA	None	None	full
MN403102	1390_Hu_Jed	2019-03-XX	Human	Saudi_Arabia	NA	None	None	full
MN735680	14	2016-05-03	Human	Saudi_Arabia	NA	None	None	full
KY794403	156	2015-XX-XX	Human	Sudan	NA	None	None	full
MK858156	19	2016-10-17	Human	Saudi_Arabia	NA	None	None	full
MG470650	2362	2016-11-18	Human	Saudi_Arabia	NA	None	None	full
MH395139	2363	2016-12-04	Human	Saudi_Arabia	NA	None	None	full
MH432120	2366	2017-02-28	Human	Saudi_Arabia	NA	None	None	full
MK858157	24	2016-11-17	Human	Saudi_Arabia	NA	None	None	full
MK858158	26	2016-11-28	Human	Saudi_Arabia	NA	None	None	full
MK858159	30	2016-12-19	Human	Saudi_Arabia	NA	None	None	full
KY794400	36	2015-XX-XX	Human	Sudan	NA	None	None	full
MK858160	37	2017-05-31	Human	Saudi_Arabia	NA	None	None	full
MK858161	40	2017-06-03	Human	Saudi_Arabia	NA	None	None	full
MK858162	41	2017-06-03	Human	Saudi_Arabia	NA	None	None	full
MK858163	42	2017-06-03	Human	Saudi_Arabia	NA	None	None	full
MK858164	44	2017-06-05	Human	Saudi_Arabia	NA	None	None	full
MN735681	81	2017-06-23	Human	Saudi_Arabia	NA	None	None	full
MH013216	HCoV_EMC	2015-10-15	Human	Saudi_Arabia	NA	None	None	full
MH306207	HCoV_EMC	2016-08-01	Human	Saudi_Arabia	NA	None	None	full
MH454272	HCoV_EMC	2016-12-06	Human	Saudi_Arabia	NA	None	None	full
NC_019843	HCoV_EMC	2012-06-13	Human	Saudi_Arabia	NA	None	None	full
MK483839	Hu/Albaha_KSA_0800H/2018	2018-08-16	Human	Saudi_Arabia	NA	None	None	full
MF000457	Hu/Amman_Jordan_12641/2015	2015-08-25	Human	Jordan	NA	None	None	full
MF000460	Hu/Amman_Jordan_12716/2015	2015-08-30	Human	Jordan	NA	None	None	full
MF000459	Hu/Amman_Jordan_12918/2015	2015-09-07	Human	Jordan	NA	None	None	full
MF000458	Hu/Amman_Jordan_13030/2015	2015-09-19	Human	Jordan	NA	None	None	full
KX154694	Hu/Artawiyah_KSA_13328/2016	2016-02-29	Human	Saudi_Arabia	NA	None	None	full
MK462244	Hu/Aseer_KSA_173RS1288/2017	2017-08-07	Human	Saudi_Arabia	NA	None	None	full
KY688119	Hu/Aseer_KSA_Rs924/2015	2015-05-01	Human	Saudi_Arabia	NA	None	None	full
KY688120	Hu/Hufuf_KSA_11002/2015	2015-05-10	Human	Saudi_Arabia	NA	None	None	full
KY688123	Hu/Hufuf_KSA_11150/2015	2015-05-13	Human	Saudi_Arabia	NA	None	None	full
KY688124	Hu/Hufuf_KSA_11401/2015	2015-05-20	Human	Saudi_Arabia	NA	None	None	full
KY688121	Hu/Hufuf_KSA_11442/2015	2015-05-22	Human	Saudi_Arabia	NA	None	None	full
KY688122	Hu/Hufuf_KSA_11767/2015	2015-05-27	Human	Saudi_Arabia	NA	None	None	full
KX154690	Hu/Jeddah_KSA_161RS1146/2016	2016-01-XX	Human	Saudi_Arabia	NA	None	None	full
MK462243	Hu/Jeddah_KSA_173RS1101/2017	2017-08-01	Human	Saudi_Arabia	NA	None	None	full
MN723542	Hu/Jeddah_KSA_173RS1101/2017	2017-08-01	Human	Saudi_Arabia	NA	None	None	full
MK462245	Hu/Jeddah_KSA_173RS1512/2017	2017-08-15	Human	Saudi_Arabia	NA	None	None	full
MK462246	Hu/Jeddah_KSA_173RS1570/2017	2017-08-17	Human	Saudi_Arabia	NA	None	None	full
MN723543	Hu/Jeddah_KSA_173RS1570/2017	2017-08-17	Human	Saudi_Arabia	NA	None	None	full
MK462247	Hu/Jeddah_KSA_182RS2449/2018	2018-06-08	Human	Saudi_Arabia	NA	None	None	full
MF741825	Hu/Jordan_12641/2015	2015-08-25	Human	Jordan	NA	None	None	full
MF741826	Hu/Jordan_12642/2015	2015-08-25	Human	Jordan	NA	None	None	full
MF741827	Hu/Jordan_12662/2015	2015-08-26	Human	Jordan	NA	None	None	full
MF741828	Hu/Jordan_12688/2015	2015-08-27	Human	Jordan	NA	None	None	full
MF741829	Hu/Jordan_12716/2015	2015-08-30	Human	Jordan	NA	None	None	full
MF741830	Hu/Jordan_12764/2015	2015-08-31	Human	Jordan	NA	None	None	full
MF741831	Hu/Jordan_12856/2015	2015-09-03	Human	Jordan	NA	None	None	full
MF741837	Hu/Jordan_12918/2015	2015-09-07	Human	Jordan	NA	None	None	full
MF741832	Hu/Jordan_12964/2015	2015-09-09	Human	Jordan	NA	None	None	full
MF741833	Hu/Jordan_13025/2015	2015-09-17	Human	Jordan	NA	None	None	full
MF741834	Hu/Jordan_13030/2015	2015-09-19	Human	Jordan	NA	None	None	full
MF741835	Hu/Jordan_13068/2015	2015-09-17	Human	Jordan	NA	None	None	full
MF741836	Hu/Jordan_13076/2015	2015-09-22	Human	Jordan	NA	None	None	full
MK039552	Hu/Jordan_201440011123/2014	2014-04-21	Human	Jordan	NA	None	None	full
MK039553	Hu/Jordan_201440011858/2014	2014-05-23	Human	Jordan	NA	None	None	full
MK052676	Hu/Jordan_201440011858/2014	2014-05-23	Human	Jordan	NA	None	None	full
KY688118	Hu/Khobar_KSA_6736/2015	2015-02-07	Human	Saudi_Arabia	NA	None	None	full
MG011351	Hu/Madinah_KSA_390/2016	2016-04-10	Human	Saudi_Arabia	NA	None	None	full
MK462257	Hu/Najran_KSA_18011240/2018	2018-06-01	Human	Saudi_Arabia	NA	None	None	full
MK462248	Hu/Najran_KSA_182RS2567/2018	2018-06-13	Human	Saudi_Arabia	NA	None	None	full
MK462250	Hu/Najran_KSA_183RS279/2018	2018-07-12	Human	Saudi_Arabia	NA	None	None	full
MK462251	Hu/Northern_KSA_1847784/2018	2018-07-18	Human	Saudi_Arabia	NA	None	None	full
KY688115	Hu/Oman_110_2015	2015-01-11	Human	Oman	NA	None	None	full
KY688114	Hu/Oman_261_2015	2015-01-16	Human	Oman	NA	None	None	full
KY688116	Hu/Oman_261_2015	2015-01-16	Human	Oman	NA	None	None	full
KY688117	Hu/Oman_3311_2015	2015-05-30	Human	Oman	NA	None	None	full
KY673148	Hu/Oman_50_2015	2015-01-06	Human	Oman	NA	None	None	full
MK462258	Hu/Qaseem_KSA_18012872/2018	2018-07-24	Human	Saudi_Arabia	NA	None	None	full
MK462254	Hu/Qaseem_KSA_18013897/2018	2018-08-31	Human	Saudi_Arabia	NA	None	None	full
MG011341	Hu/Qasim_KSA_13922/2016	2016-03-06	Human	Saudi_Arabia	NA	None	None	full
MG011352	Hu/Qasim_KSA_893/2016	2016-07-20	Human	Saudi_Arabia	NA	None	None	full
MG757593	Hu/Riyadh_KSA_002D1N/2015	2015-08-22	Human	Saudi_Arabia	NA	None	None	full
MG757594	Hu/Riyadh_KSA_004D1S/2015	2015-08-24	Human	Saudi_Arabia	NA	None	None	full
MG757595	Hu/Riyadh_KSA_005D1S/2015	2015-08-24	Human	Saudi_Arabia	NA	None	None	full
MG757596	Hu/Riyadh_KSA_006D1S/2015	2015-08-24	Human	Saudi_Arabia	NA	None	None	full
MG757597	Hu/Riyadh_KSA_007D1N/2015	2015-08-24	Human	Saudi_Arabia	NA	None	None	full
MG757598	Hu/Riyadh_KSA_008D3N/2015	2015-08-26	Human	Saudi_Arabia	NA	None	None	full
MH029552	Hu/Riyadh_KSA_008D3N/2015	2015-08-26	Human	Saudi_Arabia	NA	None	None	full
MG757599	Hu/Riyadh_KSA_009D1N/2015	2015-08-26	Human	Saudi_Arabia	NA	None	None	full
MG757600	Hu/Riyadh_KSA_012D1S/2015	2015-09-01	Human	Saudi_Arabia	NA	None	None	full
MG757601	Hu/Riyadh_KSA_014D1N/2015	2015-09-01	Human	Saudi_Arabia	NA	None	None	full
MG757602	Hu/Riyadh_KSA_015D1P/2015	2015-09-01	Human	Saudi_Arabia	NA	None	None	full
MG520075	Hu/Riyadh_KSA_023D1N/2015	2015-10-13	Human	Saudi_Arabia	NA	None	None	full
MG546330	Hu/Riyadh_KSA_023D1N/2015	2015-10-13	Human	Saudi_Arabia	NA	None	None	full
MG520076	Hu/Riyadh_KSA_023D3N/2015	2015-10-15	Human	Saudi_Arabia	NA	None	None	full
MG546331	Hu/Riyadh_KSA_023D3N/2015	2015-10-15	Human	Saudi_Arabia	NA	None	None	full
MG757603	Hu/Riyadh_KSA_031D1N/2015	2015-09-18	Human	Saudi_Arabia	NA	None	None	full
MG757605	Hu/Riyadh_KSA_036D1N/2016	2016-04-14	Human	Saudi_Arabia	NA	None	None	full
MG757604	Hu/Riyadh_KSA_039D3T/2016	2016-01-31	Human	Saudi_Arabia	NA	None	None	full
MG366883	Hu/Riyadh_KSA_10024/2017	2015-06-15	Human	Saudi_Arabia	NA	None	None	full
KX154689	Hu/Riyadh_KSA_10208/2016	2016-01-XX	Human	Saudi_Arabia	NA	None	None	full
MG912601	Hu/Riyadh_KSA_10308/2017	2017-06-10	Human	Saudi_Arabia	NA	None	None	full
MH310911	Hu/Riyadh_KSA_10717/2017	2017-06-06	Human	Saudi_Arabia	NA	None	None	full
KX154684	Hu/Riyadh_KSA_11739/2016	2016-02-XX	Human	Saudi_Arabia	NA	None	None	full
KX154685	Hu/Riyadh_KSA_11740/2016	2016-02-XX	Human	Saudi_Arabia	NA	None	None	full
KX154686	Hu/Riyadh_KSA_11898/2016	2016-02-XX	Human	Saudi_Arabia	NA	None	None	full
KX154687	Hu/Riyadh_KSA_11958/2016	2016-02-XX	Human	Saudi_Arabia	NA	None	None	full
KX154688	Hu/Riyadh_KSA_12160/2016	2016-02-XX	Human	Saudi_Arabia	NA	None	None	full
KX154691	Hu/Riyadh_KSA_12832/2016	2016-02-25	Human	Saudi_Arabia	NA	None	None	full
KX154692	Hu/Riyadh_KSA_12969/2016	2016-02-27	Human	Saudi_Arabia	NA	None	None	full
KX154693	Hu/Riyadh_KSA_13127/2016	2016-02-29	Human	Saudi_Arabia	NA	None	None	full
MG011340	Hu/Riyadh_KSA_13798/2016	2016-03-05	Human	Saudi_Arabia	NA	None	None	full
MG011342	Hu/Riyadh_KSA_13984/2016	2016-03-07	Human	Saudi_Arabia	NA	None	None	full
MG011343	Hu/Riyadh_KSA_14607/2016	2016-03-12	Human	Saudi_Arabia	NA	None	None	full
MG011347	Hu/Riyadh_KSA_14670/2016	2016-03-13	Human	Saudi_Arabia	NA	None	None	full
MG011344	Hu/Riyadh_KSA_14675/2016	2016-03-13	Human	Saudi_Arabia	NA	None	None	full
MG011346	Hu/Riyadh_KSA_14949/2016	2016-03-14	Human	Saudi_Arabia	NA	None	None	full
MG011345	Hu/Riyadh_KSA_15385/2016	2016-03-18	Human	Saudi_Arabia	NA	None	None	full
MG011359	Hu/Riyadh_KSA_16559/2016	2016-03-29	Human	Saudi_Arabia	NA	None	None	full
MG011350	Hu/Riyadh_KSA_16849/2016	2016-04-04	Human	Saudi_Arabia	NA	None	None	full
MG011349	Hu/Riyadh_KSA_17382/2016	2016-04-13	Human	Saudi_Arabia	NA	None	None	full
MG011348	Hu/Riyadh_KSA_17756/2016	2016-04-18	Human	Saudi_Arabia	NA	None	None	full
MK462249	Hu/Riyadh_KSA_18012493/2018	2018-07-09	Human	Saudi_Arabia	NA	None	None	full
MK462253	Hu/Riyadh_KSA_18013832/2018	2018-08-30	Human	Saudi_Arabia	NA	None	None	full
MN723544	Hu/Riyadh_KSA_18013832/2018	2018-08-30	Human	Saudi_Arabia	NA	None	None	full
MK462255	Hu/Riyadh_KSA_18014504/2018	2018-09-15	Human	Saudi_Arabia	NA	None	None	full
MK462256	Hu/Riyadh_KSA_18014506/2018	2018-09-15	Human	Saudi_Arabia	NA	None	None	full
MN365232	Hu/Riyadh_KSA_19001796/2019	2019-01-28	Human	Saudi_Arabia	NA	None	None	full
MN365233	Hu/Riyadh_KSA_19003852/2019	2019-02-15	Human	Saudi_Arabia	NA	None	None	full
MG011353	Hu/Riyadh_KSA_19949/2016	2016-06-01	Human	Saudi_Arabia	NA	None	None	full
MG011354	Hu/Riyadh_KSA_20570/2016	2016-06-16	Human	Saudi_Arabia	NA	None	None	full
MG011355	Hu/Riyadh_KSA_21155/2016	2016-07-01	Human	Saudi_Arabia	NA	None	None	full
MG011356	Hu/Riyadh_KSA_21891/2016	2016-07-12	Human	Saudi_Arabia	NA	None	None	full
MG011358	Hu/Riyadh_KSA_24241/2016	2016-09-21	Human	Saudi_Arabia	NA	None	None	full
MG011357	Hu/Riyadh_KSA_24244/2016	2016-09-21	Human	Saudi_Arabia	NA	None	None	full
MH310909	Hu/Riyadh_KSA_5767/2017	2017-05-05	Human	Saudi_Arabia	NA	None	None	full
MG912595	Hu/Riyadh_KSA_7178/2017	2017-05-31	Human	Saudi_Arabia	NA	None	None	full
MG912609	Hu/Riyadh_KSA_7275/2017	2017-05-31	Human	Saudi_Arabia	NA	None	None	full
MH310912	Hu/Riyadh_KSA_7344/2017	2017-05-15	Human	Saudi_Arabia	NA	None	None	full
MG912596	Hu/Riyadh_KSA_7373/2017	2017-06-02	Human	Saudi_Arabia	NA	None	None	full
MG366483	Hu/Riyadh_KSA_7413/2017	2017-06-02	Human	Saudi_Arabia	NA	None	None	full
MG912597	Hu/Riyadh_KSA_7423/2017	2017-06-02	Human	Saudi_Arabia	NA	None	None	full
MG366880	Hu/Riyadh_KSA_7436/2017	2015-06-02	Human	Saudi_Arabia	NA	None	None	full
MG912598	Hu/Riyadh_KSA_7680/2017	2017-06-03	Human	Saudi_Arabia	NA	None	None	full
MH310910	Hu/Riyadh_KSA_7696/2017	2017-06-03	Human	Saudi_Arabia	NA	None	None	full
MG912599	Hu/Riyadh_KSA_8667/2017	2017-06-07	Human	Saudi_Arabia	NA	None	None	full
MG366881	Hu/Riyadh_KSA_8677/2017	2015-06-07	Human	Saudi_Arabia	NA	None	None	full
MG366882	Hu/Riyadh_KSA_8683/2017	2015-06-07	Human	Saudi_Arabia	NA	None	None	full
MG912600	Hu/Riyadh_KSA_8882/2017	2017-06-08	Human	Saudi_Arabia	NA	None	None	full
MG912607	Hu/Riyadh_KSA_9522/2017	2017-06-11	Human	Saudi_Arabia	NA	None	None	full
MG912602	Hu/Riyadh_KSA_9614/2017	2017-06-12	Human	Saudi_Arabia	NA	None	None	full
MG912604	Hu/Riyadh_KSA_9689/2017	2017-06-15	Human	Saudi_Arabia	NA	None	None	full
